Neighborhood,mean_lat,mean_lon
Addisleigh Park,40.685713,-73.78002
Arverne,40.592939,-73.79568
Astoria,40.7643574,-73.9234619
Belle Harbor,40.57649,-73.84721
Bellerose Manor,40.72681833,-73.73672333
Breezy Point,40.560167,-73.90891
Briarwood,40.700068,-73.80986
Broad Channel,40.596959,-73.81978
Cambria Heights,40.693538,-73.73574
Corona,40.747106,-73.85838
East Elmhurst,40.76598033,-73.87870667
Elmhurst,40.726052,-73.878645
Far Rockaway,40.585315,-73.82624
Floral Park,40.7499635,-73.71218
Flushing,40.737103,-73.863382
Forest Hills,40.720535,-73.84582
Fresh Meadows,40.73256,-73.793555
Fresh Pond,40.703069,-73.89285
Glen Oaks,40.742944,-73.70956
Glendale,40.703069,-73.89285
Hollis Hills,40.721248,-73.75803
Jackson Heights,40.750146,-73.88433
Jamaica,40.69433147,-73.77611871
Kew Gardens,40.728614,-73.82145
La Guardia Airport,40.772072,-73.87509
Laurelton,40.670138,-73.75141
Long Island City,40.744679,-73.9485424
Maspeth,40.724096,-73.90271
Middle Village,40.716028,-73.87925
Neponsit,40.57649,-73.84721
Parkside,40.720535,-73.84582
Pomonok,40.738983,-73.79209
Queens Village,40.71901633,-73.74270667
Rego Park,40.724945,-73.8609
Ridgewood,40.703069,-73.89285
Rochdale,40.674888,-73.7727
Rockaway Beach,40.596959,-73.81978
Rockaway Park,40.57649,-73.84721
Rockaway Point,40.560167,-73.90891
Rosedale,40.662538,-73.73514
Saint Albans,40.697188,-73.75948
South Ozone Park,40.674146,-73.79687
Springfield Gardens,40.670138,-73.75141
Sunnyside,40.743796,-73.91949
Trainsmeadow,40.763015,-73.89052
Utopia,40.726137,-73.79502
Vet Admin Ext Care Center,40.651378,-73.870779
Woodside,40.742869,-73.90377
York College,40.651378,-73.870779
