ZIP,CITY,STATE,BOROUGH
11106,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11104,SUNNYSIDE,NY,QUEENS
11103,QUEENS,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11104,QUEENS,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11374,REGO PARK,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11370,EAST ELMHURST,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11104,SUNNYSIDE,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11367,FLUSHING,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11435,JAMAICA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11104,SUNNYSIDE,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11694,ROCKAWAY PARK,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11109,LONG ISLAND CITY,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11104,SUNNYSIDE,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11372,JACKSON HEIGHTS,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11379,MIDDLE VILLAGE,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11372,JACKSON HEIGHTS,NY,QUEENS
11366,FLUSHING,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11104,SUNNYSIDE,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11374,REGO PARK,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11375,FOREST HILLS,NY,QUEENS
11109,LONG ISLAND CITY,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11101,ASTORIA,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11377,WOODSIDE,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11379,MIDDLE VILLAGE,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11373,ELMHURST,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11104,SUNNYSIDE,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11368,CORONA,NY,QUEENS
11367,FLUSHING,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11101,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11102,ASTORIA,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11101,LONG ISLAND CITY,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11106,ASTORIA,NY,QUEENS
11103,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
11105,ASTORIA,NY,QUEENS
