"","Neighborhood","ZIP"
"1","Addisleigh Park",11433
"2","Addisleigh Park",11434
"3","John F Kennedy Airport",11499
"4","Arverne",11692
"5","Astoria",11101
"6","Astoria",11102
"7","Astoria",11103
"8","Astoria",11104
"9","Astoria",11105
"10","Astoria",11106
"11","Bay Terrace",11360
"12","Bayside",11359
"13","Bayside",11360
"14","Bayside",11361
"15","Bayside",11364
"16","Beechhurst",11357
"17","Belle Harbor",11694
"18","Bellerose Manor",11426
"19","Bellerose Manor",11427
"20","Bellerose Manor",11428
"21","Borough Hall",11424
"22","Breezy Point",11697
"23","Briarwood",11435
"24","Broad Channel",11693
"25","Cambria Heights",11411
"26","Citicorp",11120
"27","College Point",11356
"28","Contest and Large Vol",11390
"29","Corona",11368
"30","Douglaston",11362
"31","Douglaston",11363
"32","East Elmhurst",11369
"33","East Elmhurst",11370
"34","East Elmhurst",11371
"35","Edgemere",11690
"36","Elmhurst",11373
"37","Elmhurst",11379
"38","Elmhurst",11380
"39","Far Rockaway",11690
"40","Far Rockaway",11691
"41","Far Rockaway",11692
"42","Far Rockaway",11693
"43","Far Rockaway",11694
"44","Far Rockaway",11695
"45","Far Rockaway",11697
"46","Floral Park",11004
"47","Floral Park",11005
"48","Flushing",11351
"49","Flushing",11352
"50","Flushing",11354
"51","Flushing",11355
"52","Flushing",11356
"53","Flushing",11357
"54","Flushing",11358
"55","Flushing",11359
"56","Flushing",11360
"57","Flushing",11361
"58","Flushing",11362
"59","Flushing",11363
"60","Flushing",11364
"61","Flushing",11365
"62","Flushing",11366
"63","Flushing",11367
"64","Flushing",11368
"65","Flushing",11369
"66","Flushing",11370
"67","Flushing",11371
"68","Flushing",11372
"69","Flushing",11373
"70","Flushing",11374
"71","Flushing",11375
"72","Flushing",11377
"73","Flushing",11378
"74","Flushing",11379
"75","Flushing",11380
"76","Flushing",11381
"77","Flushing",11385
"78","Flushing",11386
"79","Flushing",11390
"80","Forest Hills",11375
"81","Fort Tilden",11695
"82","Fort Totten",11359
"83","Fresh Meadows",11365
"84","Fresh Meadows",11366
"85","Fresh Pond",11385
"86","Glen Oaks",11004
"87","Glendale",11385
"88","Hollis Hills",11423
"89","Hollis Hills",11427
"90","Horace Harding",11362
"91","Howard Beach",11414
"92","Jackson Heights",11372
"93","Jamaica",11405
"94","Jamaica",11411
"95","Jamaica",11412
"96","Jamaica",11413
"97","Jamaica",11414
"98","Jamaica",11415
"99","Jamaica",11416
"100","Jamaica",11417
"101","Jamaica",11418
"102","Jamaica",11419
"103","Jamaica",11420
"104","Jamaica",11421
"105","Jamaica",11422
"106","Jamaica",11423
"107","Jamaica",11424
"108","Jamaica",11425
"109","Jamaica",11426
"110","Jamaica",11427
"111","Jamaica",11428
"112","Jamaica",11429
"113","Jamaica",11430
"114","Jamaica",11431
"115","Jamaica",11432
"116","Jamaica",11433
"117","Jamaica",11434
"118","Jamaica",11435
"119","Jamaica",11436
"120","Jamaica",11439
"121","Jamaica",11451
"122","Jamaica",11499
"123","Jamaica",11432
"124","John F Kennedy Airport",11430
"125","John F Kennedy Airport",11430
"126","Kew Garden Hl",11367
"127","Kew Gardens",11415
"128","Kew Gardens",11418
"129","Kew Gardens",11424
"130","Kew Gardens",11367
"131","La Guardia Airport",11371
"132","La Guardia Airport",11371
"133","Laurelton",11413
"134","Linden Hill",11354
"135","Little Neck",11362
"136","Little Neck",11363
"137","Long Island City",11101
"138","Long Island City",11102
"139","Long Island City",11103
"140","Long Island City",11104
"141","Long Island City",11105
"142","Long Island City",11106
"143","Long Island City",11109
"144","Long Island City",11120
"145","Malba",11357
"146","Maspeth",11378
"147","Metropolitan Museum of Art",11381
"148","Middle Village",11379
"149","Motor Vehicle Bureau",11405
"150","Neponsit",11694
"151","Oakland Gardens",11364
"152","Oakland Gardens",11364
"153","Ozone Park",11416
"154","Ozone Park",11417
"155","Parkside",11375
"156","Pomonok",11365
"157","Queens Village",11427
"158","Queens Village",11428
"159","Queens Village",11429
"160","Rego Park",11374
"161","Richmond Hill",11418
"162","Ridgewood",11385
"163","Ridgewood",11386
"164","Rochdale",11434
"165","Rockaway Beach",11693
"166","Rockaway Park",11694
"167","Rockaway Point",11697
"168","Rosedale",11422
"169","Saint Albans",11412
"170","Saint John University",11439
"171","South Ozone Park",11420
"172","South Ozone Park",11436
"173","South Richmond Hill",11419
"174","South Richmond Hill",11419
"175","Springfield Gardens",11413
"176","Springfield Gardens",11413
"177","Sta A",11358
"178","Sunnyside",11104
"179","Trainsmeadow",11370
"180","Utopia",11366
"181","Vet Admin Ext Care Center",11425
"182","Wave Crest",11690
"183","Whitestone",11357
"184","Woodhaven",11421
"185","Woodside",11377
"186","York College",11451
